name,email,date_of_birth,address,phone_number,grade,student_id,major,minor,enrollment_year,graduation_year,gender,gpa,ethnicity,marital_status,courses,student_type,scholarship,sports_teams,internship_status,social_security_number,birth_place,nationality,parents,emergency_contact,language_proficiency,previous_schools,has_student_loan
Autumn Russell,keithhoward@example.com,2004-04-08,"71424 Mclean Viaduct
Michaelside, WI 65955",+1-302-525-4601x01102,A,453afd9c-e0eb-445d-975d-fb1f41988b09,Chemistry,Philosophy,2000,1974,Non-binary,11.6,Mixed,Divorced,"['transform one-to-one users', 'whiteboard cross-platform bandwidth', 'mesh web-enabled paradigms']",Full-time,No,None,Currently Internship,218-59-6210,Pearsonside,British,"{'father_name': 'Brianna Davis', 'mother_name': 'Wesley Butler', 'contact_number': '607-824-6589x1230'}","{'name': 'Garrett Velez', 'relationship': 'Friend', 'phone_number': '540-551-5990x0401'}",Mandarin,"['Martin, Jones and Ramos', 'Shields Inc']",Yes
Adrian Rodriguez,jburke@example.com,2006-11-04,"Unit 6847 Box 0493
DPO AP 65091",466-596-0810,C,3ea396e2-91c7-4b2c-976a-dabe1ce4487a,Mathematics,Economics,1976,2017,Female,4.1,Mixed,Divorced,"['evolve holistic users', 'enhance mission-critical mindshare', 'transform proactive deliverables']",Part-time,Yes,Basketball,Currently Internship,800-62-5928,Jasonfort,German,"{'father_name': 'Christopher Montgomery', 'mother_name': 'Thomas Castro', 'contact_number': '8677863022'}","{'name': 'Marcus Benton', 'relationship': 'Parent', 'phone_number': '(361)314-4484x2965'}",English,"['Johnson PLC', 'Gonzalez-Whitaker']",No
Donna Cook,hoodolivia@example.org,2004-01-06,"5299 Julia Shoals
Kimberlyland, MO 30425",5403246570,D,3cf00390-9933-400b-9fec-5d75ef0fce44,History,Psychology,2004,1991,Male,11.4,Mixed,Divorced,"['morph best-of-breed initiatives', 'grow clicks-and-mortar ROI', 'maximize innovative e-tailers']",Full-time,Yes,Basketball,None,368-25-8139,Portermouth,Australian,"{'father_name': 'Robert Richard', 'mother_name': 'Daisy Harris', 'contact_number': '(573)834-5792'}","{'name': 'Tracy Peck MD', 'relationship': 'Parent', 'phone_number': '001-595-426-7213'}",Other,"['Steele, Beck and Ramirez', 'Cruz, Henry and Wright']",No
Jesus Chang,aprilgarcia@example.org,2005-02-21,"1785 Mcdowell Terrace
Alyssafort, MD 34622",001-606-335-8973x69373,F,e74d1d00-57e8-443a-a148-e321c13ab214,Physics,Sociology,2006,1997,Non-binary,9.4,Asian,Single,"['extend B2B vortals', 'orchestrate collaborative experiences', 'scale vertical systems']",Full-time,Yes,Soccer,None,681-21-2916,Lauramouth,British,"{'father_name': 'Brianna Turner', 'mother_name': 'Anne Moore', 'contact_number': '(572)918-4047'}","{'name': 'Krystal Schultz', 'relationship': 'Sibling', 'phone_number': '453.312.1795x71921'}",Spanish,"['Martinez-Gardner', 'Stanley PLC']",Yes
Zachary Smith,dmorris@example.net,2002-08-23,"55311 Ramos Road Suite 220
Luischester, NY 52098",698.337.5672x39866,A,5b063394-d336-499a-a759-57e10d6ba476,Engineering,Sociology,2009,1997,Female,8.7,Other,Married,"['e-enable proactive supply-chains', 'evolve integrated paradigms', 'generate customized e-business']",Part-time,Yes,Basketball,Currently Internship,746-67-4246,East Mark,German,"{'father_name': 'Stephanie Stafford', 'mother_name': 'Daniel Smith', 'contact_number': '+1-729-667-0981x13211'}","{'name': 'Jennifer Thomas', 'relationship': 'Friend', 'phone_number': '+1-571-995-3076x55704'}",Spanish,"['Montes, Martinez and Davis', 'Murray LLC']",Yes
Michael Mayo,mmiles@example.com,2004-10-04,"56700 Veronica Parkway
Stephaniestad, MO 38449",(758)753-5353x9842,C,504ba0d5-7bf4-4849-ac93-adefcadfcebb,Chemistry,Psychology,2015,1977,Male,9.0,Hispanic,Single,"['cultivate viral relationships', 'scale cutting-edge metrics', 'iterate e-business technologies']",Part-time,No,Basketball,Completed Internship,705-59-7550,Morganstad,American,"{'father_name': 'Gary Russell', 'mother_name': 'Ashley Boyd DDS', 'contact_number': '001-871-414-3815x39731'}","{'name': 'Matthew Mooney', 'relationship': 'Parent', 'phone_number': '+1-972-627-5914x012'}",French,"['Carlson-Thompson', 'Haynes-Morgan']",No
Mrs. Anne Banks,john83@example.com,2003-10-03,"08778 Sandra Court
Angelabury, AR 81914",(946)753-1885x272,C,a90b4abd-dac4-4a04-ac18-6a6b9eb89858,Engineering,Art History,2018,2016,Female,5.8,African American,Married,"['empower killer info-mediaries', 'enhance out-of-the-box action-items', 'innovate seamless eyeballs']",Full-time,No,Basketball,None,181-28-0043,Port Danny,British,"{'father_name': 'Ruth Thomas', 'mother_name': 'Keith Mendoza', 'contact_number': '603-573-4709x186'}","{'name': 'James Nguyen', 'relationship': 'Sibling', 'phone_number': '849.357.8531x1874'}",Spanish,"['Griffin, Bowen and Lucas', 'Kelley, Duncan and Foster']",No
Stephen Hardy,cindy25@example.net,2003-04-10,"963 Carolyn Islands
East Carol, GA 60650",8919992165,C,fa783972-e535-4021-85ab-43cc2e5c6a4b,Chemistry,Psychology,1978,1981,Male,3.4,Hispanic,Married,"['enhance magnetic e-commerce', 'mesh viral convergence', 'drive enterprise solutions']",Full-time,No,Basketball,Completed Internship,340-30-0217,West Dennischester,American,"{'father_name': 'Sarah Harrison', 'mother_name': 'James Cunningham', 'contact_number': '(790)413-1491x0005'}","{'name': 'Christopher Romero', 'relationship': 'Friend', 'phone_number': '5044224232'}",Mandarin,"['Goodwin LLC', 'Cooper, Carter and Wright']",Yes
Raymond Garcia,joshua00@example.net,2006-05-19,"32665 Rogers Manor
Lake Elijahtown, MD 18007",(222)657-2667x1723,C,0792a696-2615-4063-a942-79db8ca0d894,Computer Science,Psychology,1976,2021,Male,9.3,Caucasian,Divorced,"['revolutionize one-to-one users', 'incubate B2C relationships', 'productize transparent paradigms']",Part-time,Yes,None,Currently Internship,725-58-9891,Erintown,Australian,"{'father_name': 'Shelby Jones', 'mother_name': 'Christine Hill', 'contact_number': '374-511-6780x018'}","{'name': 'Denise Santiago', 'relationship': 'Parent', 'phone_number': '001-656-518-7203x88583'}",German,"['Campbell, Johnson and Hart', 'Mills, Smith and Howard']",Yes
Pamela Cooke,brobinson@example.org,2002-08-21,"194 Delgado Station
Port Elizabethtown, MS 73402",001-877-507-3558x22674,C,bdb6188e-5a97-4cbc-baad-7444337b41aa,Physics,Sociology,2006,2024,Female,11.2,African American,Married,"['whiteboard enterprise systems', 'scale B2B niches', 'incentivize e-business e-services']",Part-time,Yes,Soccer,Currently Internship,473-17-5678,Port Haydenfort,German,"{'father_name': 'Keith Perez', 'mother_name': 'Courtney Mcdaniel', 'contact_number': '349-899-6726x0857'}","{'name': 'Eugene Ramirez', 'relationship': 'Parent', 'phone_number': '(296)311-8483x727'}",Mandarin,"['Brock and Sons', 'Roth, Johnson and Stewart']",Yes
Laura Ruiz,millerjuan@example.net,2002-10-12,"688 Carey Extension Apt. 985
South Sarah, MI 94742",7327614635,D,77f628ab-725f-4533-8737-406c7fd9e330,Engineering,Psychology,1991,1998,Non-binary,4.8,Caucasian,Single,"['incubate mission-critical ROI', 'synthesize extensible channels', 'evolve interactive systems']",Full-time,No,Football,Currently Internship,176-64-4282,New Mariah,Australian,"{'father_name': 'Olivia Davis', 'mother_name': 'Ashley Ponce', 'contact_number': '(840)758-9106'}","{'name': 'Jerry Campos', 'relationship': 'Sibling', 'phone_number': '5804271820'}",German,"['Mcknight-Miller', 'Bauer, Grimes and Fleming']",Yes
Jaime Crosby,thomasjustin@example.com,2002-11-01,"8971 Dalton Island Suite 507
New Nicholasstad, PR 34062",(439)759-1269,F,ac12b880-5a57-4a85-b04d-0269122c45fc,Biology,Philosophy,1993,1985,Female,2.3,Asian,Divorced,"['scale sticky eyeballs', 'repurpose dot-com solutions', 'brand global functionalities']",Part-time,Yes,Soccer,None,389-33-7742,Herrerabury,American,"{'father_name': 'Anthony Ball', 'mother_name': 'Katherine Smith', 'contact_number': '685-630-6041x4993'}","{'name': 'Melissa Davis', 'relationship': 'Parent', 'phone_number': '938-448-3913'}",Other,"['Griffin, Perez and Lewis', 'Melton Inc']",No
Dwayne Brooks,jeffrey56@example.org,2002-04-03,"USCGC Brown
FPO AE 92611",(806)240-5389,B,89438823-dcf9-4a45-9029-620d40d989fb,Computer Science,Music,1981,2018,Male,7.2,Caucasian,Single,"['morph strategic paradigms', 'grow revolutionary architectures', 'whiteboard front-end convergence']",Part-time,Yes,None,Currently Internship,780-57-6152,Phillipsport,German,"{'father_name': 'Ralph Fisher', 'mother_name': 'April Solis', 'contact_number': '662.871.3816x1608'}","{'name': 'Megan Davis', 'relationship': 'Other', 'phone_number': '221.334.5121x99759'}",Mandarin,"['Collins and Sons', 'Dennis, Vega and Martin']",Yes
Matthew Mckay,xdavis@example.com,2003-10-02,"07882 Myers Spring Apt. 091
Perrytown, MT 57904",8422243913,A,17f558cd-6a1d-41aa-a8ad-4e2636381e4e,History,Psychology,2010,1973,Female,5.2,Caucasian,Divorced,"['incentivize cross-media paradigms', 'exploit cross-media channels', 'seize wireless convergence']",Part-time,Yes,Soccer,None,541-52-9137,Stewartland,British,"{'father_name': 'Joshua Lane', 'mother_name': 'Sarah Knapp', 'contact_number': '(922)437-6591x75257'}","{'name': 'Jacob Burch', 'relationship': 'Other', 'phone_number': '(918)814-6346x24028'}",German,"['Adams, Singleton and Smith', 'Mathews, Wilkins and Thornton']",Yes
Lindsey Miller,elizabeth35@example.net,2005-06-12,"06350 Mills Loop
Lunaville, SD 20040",+1-546-237-3249x866,D,1b334661-0407-4a51-b8de-31dd1af2cd7e,Engineering,Art History,2010,1987,Male,9.7,Mixed,Married,"['visualize one-to-one vortals', 're-intermediate compelling web-readiness', 'visualize end-to-end metrics']",Full-time,Yes,None,Completed Internship,787-13-3921,New Robert,American,"{'father_name': 'Brian Holt', 'mother_name': 'Angela Carpenter', 'contact_number': '(758)401-1105x748'}","{'name': 'Phillip Valdez', 'relationship': 'Sibling', 'phone_number': '001-834-421-0609x54685'}",Spanish,"['Freeman Inc', 'Johnson Ltd']",Yes
Jennifer Harris,becklatoya@example.org,2003-08-03,"9195 Ferguson Plains
Andrewtown, OR 17621",519-382-7030,F,4ed96625-df65-4c09-b082-d048bcefcd6a,Physics,Music,1988,1988,Non-binary,6.7,Asian,Married,"['cultivate sticky supply-chains', 'e-enable intuitive channels', 'benchmark end-to-end models']",Part-time,No,Basketball,Completed Internship,629-63-6124,South John,American,"{'father_name': 'Justin Bradley', 'mother_name': 'Keith Hooper', 'contact_number': '(417)678-3371'}","{'name': 'Nicole Russell', 'relationship': 'Sibling', 'phone_number': '+1-705-495-9119'}",Spanish,"['Ford-Daniels', 'Roman PLC']",No
Kim Cox,thomas29@example.com,2002-05-09,"2650 Terry Parkways Suite 828
North Thomasland, NJ 46559",+1-626-690-6768x8046,D,cf5636f6-0111-4f43-bd21-c062307d4289,Computer Science,Psychology,1978,2004,Non-binary,2.6,Mixed,Single,"['whiteboard end-to-end bandwidth', 'aggregate turn-key content', 'aggregate bleeding-edge users']",Part-time,No,Football,Completed Internship,121-03-4077,Nathanside,Australian,"{'father_name': 'Justin Hamilton', 'mother_name': 'Tim Stewart', 'contact_number': '485-795-9119x808'}","{'name': 'Nicholas Rodriguez', 'relationship': 'Parent', 'phone_number': '(542)889-7083x6683'}",German,"['Thomas and Sons', 'Coleman-Montoya']",Yes
David Pearson,terri06@example.net,2003-03-21,"771 Pena Burg
New Timothy, AS 14002",(932)739-4345,A,91afd99c-22d2-4a37-bc71-5fc11ac738a1,Biology,Philosophy,1991,2018,Male,7.1,Asian,Married,"['implement clicks-and-mortar action-items', 'matrix user-centric infrastructures', 'expedite open-source web-readiness']",Full-time,No,None,None,393-88-2787,North Heather,Australian,"{'father_name': 'Cory Taylor', 'mother_name': 'Crystal Calderon', 'contact_number': '400.773.2917'}","{'name': 'Daniel Thomas', 'relationship': 'Sibling', 'phone_number': '(415)577-1273x6347'}",English,"['Nelson Group', 'Alvarez-Booth']",Yes
Joshua Houston,santiagosteven@example.org,2004-02-28,"3767 Harper Hills
Whiteville, KY 08563",(841)886-5125,F,c5864274-9017-428b-9bbf-b122579b07ca,Physics,Philosophy,1973,2005,Female,4.8,Other,Married,"['seize efficient architectures', 'evolve intuitive schemas', 'innovate virtual vortals']",Full-time,No,Football,Currently Internship,108-91-4789,South Shawnberg,Canadian,"{'father_name': 'Joshua Harris', 'mother_name': 'Hannah Rodriguez', 'contact_number': '381-785-5394'}","{'name': 'Mary Jacobs', 'relationship': 'Parent', 'phone_number': '+1-613-591-6852'}",French,"['Stone Group', 'Bond PLC']",Yes
Kimberly Weaver,carlsonamy@example.org,2005-03-14,"336 Andrew Shores Apt. 108
Bernardside, FM 98767",(890)847-4392x90227,B,e99eed27-da87-4732-b8a5-0e6aeb373ec7,Mathematics,Art History,2000,1988,Female,2.2,Other,Single,"['synthesize one-to-one infrastructures', 'enable vertical portals', 'generate integrated interfaces']",Part-time,No,Basketball,None,040-02-9860,Hensleymouth,British,"{'father_name': 'Gregory Simon', 'mother_name': 'Michael Potter', 'contact_number': '001-498-241-6709x869'}","{'name': 'Andrew Lyons', 'relationship': 'Friend', 'phone_number': '969-892-3426x37062'}",Spanish,"['Smith-Reed', 'Osborn Group']",Yes
Nicole Scott,jessicarobinson@example.com,2005-08-30,"PSC 2198, Box 5310
APO AE 66299",001-961-920-4282x58971,B,f745b778-725b-4234-9c24-7bf646c478f2,Computer Science,Music,2000,2012,Female,2.4,African American,Married,"['leverage back-end networks', 'embrace 24/7 paradigms', 'benchmark wireless e-markets']",Part-time,No,Soccer,Currently Internship,076-39-3816,Grahammouth,Australian,"{'father_name': 'Kristin Joyce', 'mother_name': 'Kelly Smith', 'contact_number': '388-994-2111x709'}","{'name': 'Alec Logan', 'relationship': 'Sibling', 'phone_number': '001-316-768-3190x6165'}",German,"['Rose, Thompson and Frey', 'Smith-Smith']",Yes
Daniel Fernandez,fullerbryan@example.net,2003-02-20,"78496 Davis Overpass Apt. 183
Lake Ericfurt, MP 92822",543-281-4695,A,2069e438-4706-4015-b5d5-603b42f743ad,Mathematics,Art History,1990,1973,Male,3.1,Mixed,Divorced,"['envisioneer holistic networks', 'cultivate customized metrics', 'harness enterprise users']",Full-time,Yes,Basketball,None,784-60-5662,East Ravenborough,American,"{'father_name': 'David Rojas', 'mother_name': 'Cindy Moody', 'contact_number': '8478119282'}","{'name': 'Natalie Bell MD', 'relationship': 'Sibling', 'phone_number': '646.218.0693x539'}",German,"['Davis-Harris', 'Douglas-Avila']",No
Valerie Gonzalez,sarah24@example.org,2006-04-29,"96586 Wise Heights
West Jimmyfurt, IL 83446",996-526-2460x166,D,146566b6-4fdd-4a22-b893-2744dfbc89cf,Biology,Economics,1976,2013,Male,11.0,Mixed,Married,"['deliver one-to-one systems', 'deliver dynamic e-tailers', 'empower frictionless e-markets']",Part-time,No,Basketball,Currently Internship,521-37-9252,Morganfurt,American,"{'father_name': 'Susan Abbott', 'mother_name': 'Thomas Nunez', 'contact_number': '(550)571-8270'}","{'name': 'Sandra Bell', 'relationship': 'Other', 'phone_number': '219-816-7773x311'}",Other,"['Ortiz, Lee and Horn', 'Santiago, Martinez and Miller']",No
Amanda White,gcarrillo@example.net,2005-06-11,"0760 Montgomery Wells Apt. 531
Alyssafurt, GU 37569",509.732.8142x1576,F,9a58f452-3830-4add-83bd-6b496fb2c37d,History,Psychology,2023,1988,Non-binary,10.9,Asian,Divorced,"['incentivize strategic methodologies', 'whiteboard granular e-tailers', 'synergize end-to-end methodologies']",Full-time,Yes,Soccer,Completed Internship,543-50-4132,South Hunterton,American,"{'father_name': 'Robert Martinez', 'mother_name': 'Steven Houston', 'contact_number': '001-664-415-2822x493'}","{'name': 'Robert Rogers', 'relationship': 'Friend', 'phone_number': '(594)914-7737x0786'}",English,"['Lang-Watts', 'White, Shelton and Long']",No
Paul Wagner,johnstonjanice@example.net,2006-11-28,"16137 Kimberly Square
Jacobburgh, NM 02890",998-528-7947x83620,C,5b8c91a8-4bb4-4e21-ab81-7f0f1856a5de,Engineering,Art History,1994,1977,Female,4.5,Mixed,Single,"['strategize e-business networks', 'innovate cross-platform supply-chains', 'whiteboard dynamic web services']",Full-time,Yes,None,None,800-89-7883,Christianberg,Canadian,"{'father_name': 'Regina Walker', 'mother_name': 'Teresa Horn', 'contact_number': '822.793.3740'}","{'name': 'Nicolas Gonzalez', 'relationship': 'Other', 'phone_number': '001-608-897-7413x582'}",German,"['Chambers-Parker', 'Cochran Ltd']",Yes
Richard West,crobinson@example.com,2006-09-07,"8173 Marcus Green
Willieport, OK 38018",(842)682-1716,B,c0194fa5-563d-44cd-a371-94495910acf2,Engineering,Music,2005,1986,Male,4.0,African American,Married,"['repurpose granular users', 'empower frictionless networks', 'productize world-class interfaces']",Part-time,No,Basketball,Completed Internship,640-79-6023,Lake Eric,German,"{'father_name': 'Courtney Rodriguez', 'mother_name': 'Karen Cummings', 'contact_number': '251-726-3440x82852'}","{'name': 'Roberta Mcdonald', 'relationship': 'Sibling', 'phone_number': '+1-547-747-7897'}",Spanish,"['Martin Group', 'Jefferson-Koch']",Yes
Andrea Barber,chelseawalker@example.com,2005-01-24,"76385 Christina Forge
South Jenniferton, OK 66045",001-966-728-6037x5048,F,f27e1d2d-0260-4011-991a-66ef882eed7e,History,Music,2021,1970,Female,6.9,Asian,Single,"['harness collaborative applications', 'maximize distributed platforms', 'maximize global solutions']",Part-time,No,Football,Completed Internship,610-77-8294,Jordanmouth,American,"{'father_name': 'Stacy Castillo', 'mother_name': 'Erin Byrd', 'contact_number': '001-271-728-0035x445'}","{'name': 'Dean Hebert', 'relationship': 'Other', 'phone_number': '7096598979'}",Other,"['Gonzalez-Ochoa', 'Waters-Hernandez']",No
Thomas Pugh,emack@example.org,2006-12-21,"28245 Denise Mountains Suite 676
New Clinton, WY 86740",950.889.1243x7686,B,81698ab5-e8e3-4040-b2d9-a097e9c85ffd,Chemistry,Art History,1988,2016,Female,10.1,Asian,Divorced,"['incentivize next-generation infrastructures', 'whiteboard global platforms', 'seize vertical systems']",Full-time,Yes,Football,Completed Internship,647-85-3198,East Kirsten,Canadian,"{'father_name': 'George Oconnell', 'mother_name': 'Mrs. Kristina Foster', 'contact_number': '(610)767-5757'}","{'name': 'Alexander Johnson', 'relationship': 'Friend', 'phone_number': '(716)420-5829'}",Spanish,"['Lucero-Cummings', 'Buck, Robinson and Pugh']",Yes
Brian Young,fowens@example.com,2002-08-14,"76492 Long Cliff
South Jamieland, OK 36506",(934)814-2782,A,7da20832-750f-4552-971b-ae206be77d84,Computer Science,Psychology,1973,1996,Female,5.1,Asian,Married,"['synthesize efficient supply-chains', 'visualize global ROI', 'engineer cross-media models']",Full-time,No,Football,Currently Internship,742-19-4295,Williamhaven,German,"{'father_name': 'Shane Lamb', 'mother_name': 'Kelly Walton', 'contact_number': '(546)669-3731x588'}","{'name': 'Jason Fields', 'relationship': 'Other', 'phone_number': '001-627-841-7452'}",French,"['Reyes, Edwards and Edwards', 'Green Inc']",No
Austin Brown,megandavis@example.com,2006-01-07,"1616 Molly Crest
Jimenezton, NM 03524",349.740.7173x931,B,c4879696-6c2d-414c-adf0-cf99fa9f66ae,Chemistry,Music,1983,1999,Male,3.0,Hispanic,Single,"['empower holistic channels', 'transform web-enabled systems', 'incubate web-enabled experiences']",Full-time,No,Soccer,None,426-83-9405,Lake Amandashire,German,"{'father_name': 'Benjamin Faulkner', 'mother_name': 'Jason Bennett', 'contact_number': '+1-521-827-7262'}","{'name': 'Lisa Parsons', 'relationship': 'Friend', 'phone_number': '(920)888-9288'}",English,"['Farrell Group', 'Brady, Johnson and Harris']",Yes
Heather James,adrienne15@example.net,2004-04-14,"5035 Jason Spur
Molinashire, WY 68699",800.548.6557,D,e26d85e1-5c25-4681-8408-4bac629d0bde,Mathematics,Economics,2003,2013,Female,2.2,Mixed,Married,"['productize B2C portals', 'benchmark magnetic deliverables', 'target mission-critical info-mediaries']",Full-time,Yes,Football,Currently Internship,473-70-7961,Emilymouth,British,"{'father_name': 'Roger Torres', 'mother_name': 'Frances Byrd', 'contact_number': '244-225-1939x58596'}","{'name': 'Dana Murphy', 'relationship': 'Sibling', 'phone_number': '4718730908'}",Other,"['Mathews Group', 'Hogan-Matthews']",No
Roger Fry,zcampbell@example.net,2006-09-13,"40010 Martin Motorway Apt. 952
North Jeremy, ND 12674",5526961836,F,59b25dc3-d73b-4845-8bac-b601b78ce38e,History,Art History,2016,2022,Male,10.0,Caucasian,Single,"['architect extensible markets', 'revolutionize back-end interfaces', 'strategize transparent solutions']",Part-time,No,Football,Currently Internship,259-80-2734,New Rhondafort,American,"{'father_name': 'Daniel Edwards', 'mother_name': 'Andrew Holmes DVM', 'contact_number': '001-526-789-5550x06752'}","{'name': 'Jimmy Cherry', 'relationship': 'Sibling', 'phone_number': '774.796.2962x9553'}",Spanish,"['Johnson and Sons', 'Waters LLC']",Yes
Samantha Ewing DDS,phelpschris@example.net,2003-02-24,"5564 Daniel Branch
Johnmouth, NM 23372",(217)239-0894x4912,A,f90144dc-13e7-46f7-b8ce-718a8d9bdca4,Engineering,Psychology,2006,2013,Male,5.0,Hispanic,Married,"['scale strategic technologies', 'brand robust architectures', 'deliver ubiquitous architectures']",Full-time,No,Football,None,469-62-4286,Lake Tylerhaven,Australian,"{'father_name': 'Alexis Chan', 'mother_name': 'Dominique Harris', 'contact_number': '(938)302-5866'}","{'name': 'Adam Hall', 'relationship': 'Parent', 'phone_number': '001-498-391-2229x1527'}",Mandarin,"['Mason-Robinson', 'Johnston, Bush and Griffin']",Yes
Joel Green,ecook@example.com,2003-07-05,"53990 Virginia Radial
West Rebecca, SC 33876",001-429-783-8211x7144,B,cf570bb6-1141-43f8-b9b0-acb647a2d072,Engineering,Music,2014,2014,Non-binary,2.7,Asian,Single,"['scale granular systems', 'synthesize e-business platforms', 'engineer mission-critical e-services']",Part-time,No,None,None,391-26-3668,South James,British,"{'father_name': 'Tiffany Schmitt', 'mother_name': 'Edward Perez', 'contact_number': '556.927.9490x54137'}","{'name': 'Anthony Hansen', 'relationship': 'Parent', 'phone_number': '(650)727-0058x96013'}",French,"['Williams, Miller and Hill', 'Wiley, Smith and Norman']",No
Courtney Stephenson,gonzalesscott@example.org,2005-05-07,"4770 Carly Estates
Flynntown, IN 22434",001-845-325-3012x9499,C,db990200-7b5e-4942-9e0a-a5ab81193f5f,History,Sociology,1979,2007,Male,11.5,Other,Divorced,"['envisioneer out-of-the-box synergies', 'iterate frictionless e-tailers', 'e-enable interactive portals']",Part-time,No,Soccer,None,473-56-7398,Alexfurt,Australian,"{'father_name': 'Daniel Walters', 'mother_name': 'Amy Green', 'contact_number': '351-552-0508x804'}","{'name': 'Cynthia Johnson', 'relationship': 'Other', 'phone_number': '(812)653-1481x79432'}",English,"['Love, Webb and Campos', 'Leblanc LLC']",No
Patrick Collins,paulfoley@example.net,2007-02-25,"7375 Schaefer Highway
Delacruzberg, MI 25203",905-588-5349x05353,A,d9ea06f6-5e5c-45e1-9e9d-7f693c09f4aa,Biology,Music,1996,2006,Male,4.5,Asian,Divorced,"['benchmark bricks-and-clicks initiatives', 'grow vertical applications', 'optimize dynamic metrics']",Full-time,No,None,Completed Internship,856-99-4344,Port Nancy,British,"{'father_name': 'Sean Henry', 'mother_name': 'Christopher Schroeder', 'contact_number': '779.329.6469'}","{'name': 'Nicole Vazquez', 'relationship': 'Other', 'phone_number': '771.599.2077x509'}",French,"['Scott, Anderson and White', 'Horn, Smith and Bennett']",Yes
Gina Best,lee51@example.org,2002-04-02,"943 Grant Island
Alfredfort, GU 86115",708.740.5036x90427,B,4c1a7655-9361-47ea-ae1e-f872491eed1a,History,Music,2014,2020,Non-binary,11.3,Mixed,Single,"['repurpose seamless info-mediaries', 'monetize scalable architectures', 'grow granular content']",Full-time,Yes,Football,Currently Internship,408-12-8411,Craigberg,German,"{'father_name': 'Tiffany Harris', 'mother_name': 'Edward Baker', 'contact_number': '001-936-236-3504x28903'}","{'name': 'Mr. Keith Davis', 'relationship': 'Other', 'phone_number': '273-612-0795x9231'}",French,"['Lewis-Smith', 'Smith, Green and Schaefer']",No
Edward Hernandez,leonsmith@example.com,2006-10-26,"PSC 6251, Box 3339
APO AE 18694",3773601545,D,0a1587ca-ddc9-4b8f-95ac-3aacf91cafd9,History,Psychology,2000,1977,Male,10.6,Asian,Single,"['iterate distributed e-commerce', 'cultivate enterprise markets', 'reinvent 24/365 channels']",Part-time,No,Soccer,Currently Internship,023-05-8397,Dylantown,Australian,"{'father_name': 'Michael Wilson', 'mother_name': 'Francisco Gonzalez', 'contact_number': '001-519-867-4631x11480'}","{'name': 'Billy Riddle', 'relationship': 'Other', 'phone_number': '749-689-6894x43260'}",Mandarin,"['Haley, Barr and Davis', 'Johnson Group']",No
Brian Lewis,christopherclark@example.org,2002-09-21,"024 Thomas Crossroad Suite 526
Terranceview, MD 33890",001-427-581-6061x1997,F,1a0e0790-bb42-4a0e-8c5c-939cf2d4898b,Mathematics,Philosophy,1999,1995,Non-binary,5.9,Other,Single,"['synergize customized users', 'aggregate user-centric methodologies', 'deploy robust users']",Full-time,No,Soccer,Currently Internship,017-69-1698,Samuelhaven,German,"{'father_name': 'Stacey Williams', 'mother_name': 'Janice Rocha', 'contact_number': '001-727-699-6978x80873'}","{'name': 'Michael Ramirez', 'relationship': 'Friend', 'phone_number': '(920)682-4891'}",Mandarin,"['Dixon-Perkins', 'Long-Kelly']",Yes
Sandra Hammond,brandy79@example.net,2002-11-17,"5020 Peter Center Apt. 677
Jeffreytown, MS 38906",820.877.8022x7612,B,1dbfc655-ef4d-455d-801f-7468bd856266,Engineering,Music,1986,1978,Male,9.3,Hispanic,Divorced,"['generate value-added info-mediaries', 'implement robust paradigms', 'implement B2B supply-chains']",Full-time,No,Football,Completed Internship,577-16-1837,North Jameston,German,"{'father_name': 'Jennifer Clark', 'mother_name': 'Veronica Wilson', 'contact_number': '851.253.6996x9011'}","{'name': 'Patrick Jones', 'relationship': 'Friend', 'phone_number': '(263)901-8415'}",Mandarin,"['Russell, Ramirez and Browning', 'Griffith PLC']",Yes
Tonya Baker,rbrown@example.org,2004-01-06,"127 Chad Pine
Port Jennifershire, FM 87709",222.252.8542,C,e6d3db30-c277-46e2-be7c-487bc729c410,History,Music,2000,1991,Female,6.1,Mixed,Single,"['scale e-business technologies', 're-contextualize value-added systems', 'strategize cutting-edge systems']",Full-time,Yes,Soccer,None,266-23-4392,East Amy,British,"{'father_name': 'Jason Ho', 'mother_name': 'Curtis Chandler', 'contact_number': '500-624-0562'}","{'name': 'Ellen Lewis', 'relationship': 'Friend', 'phone_number': '+1-291-729-5258x312'}",Other,"['Rivera-Bowers', 'Padilla-Rodriguez']",Yes
Joshua Bailey,heidiadkins@example.com,2003-01-19,"PSC 1271, Box 6551
APO AE 96881",(376)350-3156,B,3500c422-ee4e-4984-aba0-318272f74880,Computer Science,Psychology,1985,2016,Non-binary,11.9,Hispanic,Married,"['benchmark virtual markets', 'generate e-business mindshare', 'architect next-generation e-commerce']",Part-time,No,None,Completed Internship,681-20-2023,Lake Frank,American,"{'father_name': 'Shannon Hoover', 'mother_name': 'Rebekah Singleton', 'contact_number': '653-837-6145x1848'}","{'name': 'Brooke Marshall', 'relationship': 'Sibling', 'phone_number': '(726)679-0125'}",Mandarin,"['Flores, Wong and Berger', 'Smith-Torres']",Yes
